UID_01,BIOCHEMICAL,NCI_NAME,BROAD_NAME,FENLAND_METABOLON_NAME,FENLAND_BIOCRATES_NAME,ARIC_NAME1,ARIC_NAME2,UCLEB_NMR_NAME,SHANGHAI_CHD_NAME,HMDB_ID,HMDB_ID1,HMDB_ID2,CHEMICAL_ID,COMP_ID,PUBCHEM,CHEMSPIDER,CHEBI,INCHI,INCHIKEY,CAS,KEGG,SUPER_PATHWAY,SUB_PATHWAY,FLAG
CSID24822863,(2R)-3-(Hexadecyloxy)-2-[(9Z)-9-icosenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC ae C36:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822863,NA,"InChI=1S/C44H88NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h23-24,43H,6-22,25-42H2,1-5H3/b24-23-/t43-/m1/s1",KDJNGPJWWLDTBH-IJPQMANRSA-N,NA,NA,NA,NA,NA
CSID24822638,"(2R)-3-(Icosanoyloxy)-2-[(11Z,14Z,17Z)-11,14,17-icosatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC aa C40:3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24822638,NA,"InChI=1S/C48H90NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-38-40-47(50)54-44-46(45-56-58(52,53)55-43-42-49(3,4)5)57-48(51)41-39-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h9,11,15,17,21,23,46H,6-8,10,12-14,16,18-20,22,24-45H2,1-5H3/b11-9-,17-15-,23-21-/t46-/m1/s1",REABNEVSLLNWCN-NEUZZYPFSA-N,NA,NA,NA,NA,NA
CSID24823031,(2R)-3-Hydroxy-2-[(9Z)-9-octadecenoyloxy]propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,lysoPhosphatidylcholine a C18:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24823031,NA,"InChI=1S/C26H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)34-25(23-28)24-33-35(30,31)32-22-21-27(2,3)4/h12-13,25,28H,5-11,14-24H2,1-4H3/b13-12-/t25-/m1/s1",SULIDBRAXVDKBU-PTGWMXDISA-N,NA,NA,NA,NA,NA
CSID24823006,(2R)-3-[(9E)-9-Hexadecenoyloxy]-2-hydroxypropyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,lysoPhosphatidylcholine a C16:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24823006,NA,"InChI=1S/C24H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h10-11,23,26H,5-9,12-22H2,1-4H3/b11-10+/t23-/m1/s1",LFUDDCMNKWEORN-BREAQWACSA-N,NA,NA,NA,NA,NA
CSID9085165,(2S)-2-Amino-4-[(S)-methylsulfinyl]butanoic acid,NA,NA,NA,Methionine-Sulfoxide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9085165,NA,"InChI=1S/C5H11NO3S/c1-10(9)3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-,10-/m0/s1",QEFRNWWLZKMPFJ-MFXDVPHUSA-N,NA,NA,NA,NA,NA
CSID83182,(2S)-2-Aminohexanedioic acid,NA,NA,NA,alpha-Aminoadipic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83182,NA,"InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)/t4-/m0/s1",OYIFNHCXNCRBQI-BYPYZUCNSA-N,NA,NA,NA,NA,NA
CSID8756279,(2S)-3-(Hexadecyloxy)-2-(stearoyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,PC ae C34:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8756279,NA,"InChI=1S/C42H86NO7P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-42(44)50-41(40-49-51(45,46)48-38-36-43(3,4)5)39-47-37-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h41H,6-40H2,1-5H3/t41-/m0/s1",PXPSGTINXJQLBR-RWYGWLOXSA-N,NA,NA,NA,NA,NA
CSID8708435,"(2S)-3-(Hexadecyloxy)-2-[(9Z,12Z,15Z)-9,12,15-octadecatrienoyloxy]propyl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,PC ae C34:3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8708435,NA,"InChI=1S/C42H80NO7P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-42(44)50-41(40-49-51(45,46)48-38-36-43(3,4)5)39-47-37-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h8,10,14,16,20,22,41H,6-7,9,11-13,15,17-19,21,23-40H2,1-5H3/b10-8-,16-14-,22-20-/t41-/m0/s1",AZHDIOOLUSYGPE-GRIKXFKGSA-N,NA,NA,NA,NA,NA
CSID18953394,(2S)-3-Hydroxy-2-(stearoyloxy)propyl 2-(trimethylammonio)ethyl phosphate,NA,NA,NA,lysoPhosphatidylcholine a C18:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18953394,NA,"InChI=1S/C26H54NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)34-25(23-28)24-33-35(30,31)32-22-21-27(2,3)4/h25,28H,5-24H2,1-4H3/t25-/m0/s1",IQGPMZRCLCCXAG-VWLOTQADSA-N,NA,NA,NA,NA,NA
CSID24846877,"(2S,3R,4E)-2-(Hexacosanoylamino)-3-hydroxy-4-octadecen-1-yl 2-(trimethylammonio)ethyl phosphate",NA,NA,NA,SM C26:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24846877,NA,"InChI=1S/C49H99N2O6P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-26-27-28-29-31-33-35-37-39-41-43-49(53)50-47(46-57-58(54,55)56-45-44-51(3,4)5)48(52)42-40-38-36-34-32-30-19-17-15-13-11-9-7-2/h40,42,47-48,52H,6-39,41,43-46H2,1-5H3,(H-,50,53,54,55)/b42-40+/t47-,48+/m0/s1",VRAWSAPVSSLIRI-MVUJCARGSA-N,NA,NA,NA,NA,NA
